a道具ID	道具类型	子类型	道具名称	晶石	品质	使用等级	职业限制	叠加数量	贩卖价格	有效时间	属性1	基础数值	成长值	权值	属性2	基础数值	成长值	权值	属性3	基础数值	成长值	权值	属性4	基础数值	成长值	权值	套装ID	特效类型	图标	道具描述	模型资源id	产出副本id	基础特效ID
44130006	4	413	六阶防御丹	300	11	1	0	9999	500	0																			icon_44130003	珍贵无比，可以用于升级经脉			
44140001	4	414	一阶暴击丹	50	0	1	0	9999	500	0																			icon_44140001	珍贵无比，可以用于升级经脉			
44140002	4	414	二阶暴击丹	100	3	1	0	9999	500	0																			icon_44140002	珍贵无比，可以用于升级经脉			
44140003	4	414	三阶暴击丹	300	6	1	0	9999	500	0																			icon_44140003	珍贵无比，可以用于升级经脉			
44140004	4	414	四阶暴击丹	300	7	1	0	9999	500	0																			icon_44140003	珍贵无比，可以用于升级经脉			
44140005	4	414	五阶暴击丹	300	9	1	0	9999	500	0																			icon_44140003	珍贵无比，可以用于升级经脉			
44140006	4	414	六阶暴击丹	300	11	1	0	9999	500	0																			icon_44140003	珍贵无比，可以用于升级经脉			
44150001	4	415	一阶闪避丹	50	0	1	0	9999	500	0																			icon_44150001	珍贵无比，可以用于升级经脉			
44150002	4	415	二阶闪避丹	100	3	1	0	9999	500	0																			icon_44150002	珍贵无比，可以用于升级经脉			
44150003	4	415	三阶闪避丹	300	6	1	0	9999	500	0																			icon_44150003	珍贵无比，可以用于升级经脉			
44150004	4	415	四阶闪避丹	300	7	1	0	9999	500	0																			icon_44150003	珍贵无比，可以用于升级经脉			
44150005	4	415	五阶闪避丹	300	9	1	0	9999	500	0																			icon_44150003	珍贵无比，可以用于升级经脉			
44150006	4	415	六阶闪避丹	300	11	1	0	9999	500	0																			icon_44150003	珍贵无比，可以用于升级经脉			
44200000	4	420	1级武器碎片	0	6	1	0	9999	500	0																			icon_44200001	紫色武器碎片，收集15个碎片可以随机合成一件紫色武器			
44200001	4	420	45级武器碎片	0	6	1	0	9999	500	0																			icon_44200001	紫色武器碎片，收集15个碎片可以随机合成一件紫色武器			
44200002	4	420	60级武器碎片	0	6	1	0	9999	500	0																			icon_44200001	紫色武器碎片，收集15个碎片可以随机合成一件紫色武器			
44200003	4	420	75级武器碎片	0	6	1	0	9999	500	0																			icon_44200001	紫色武器碎片，收集15个碎片可以随机合成一件紫色武器			
44200004	4	420	90级武器碎片	0	6	1	0	9999	500	0																			icon_44200001	紫色武器碎片，收集15个碎片可以随机合成一件紫色武器			
44200005	4	420	105级武器碎片	0	6	1	0	9999	500	0																			icon_44200001	紫色武器碎片，收集15个碎片可以随机合成一件紫色武器			
44200006	4	420	120级武器碎片	0	6	1	0	9999	500	0																			icon_44200001	紫色武器碎片，收集15个碎片可以随机合成一件紫色武器			
44200007	4	420	135级武器碎片	0	6	1	0	9999	500	0																			icon_44200001	紫色武器碎片，收集15个碎片可以随机合成一件紫色武器			
44200008	4	420	150级武器碎片	0	6	1	0	9999	500	0																			icon_44200001	紫色武器碎片，收集15个碎片可以随机合成一件紫色武器			
44200009	4	420	160级武器碎片	0	6	1	0	9999	500	0																			icon_44200001	紫色武器碎片，收集15个碎片可以随机合成一件紫色武器			
44200010	4	420	165级武器碎片	0	6	1	0	9999	500	0																			icon_44200001	紫色武器碎片，收集15个碎片可以随机合成一件紫色武器			
44210000	4	421	1级衣服碎片	0	6	1	0	9999	500	0																			icon_44210001	紫色衣服碎片，收集15个碎片可以随机合成一件紫色衣服			
44210001	4	421	45级衣服碎片	0	6	1	0	9999	500	0																			icon_44210001	紫色衣服碎片，收集15个碎片可以随机合成一件紫色衣服			
44210002	4	421	60级衣服碎片	0	6	1	0	9999	500	0																			icon_44210001	紫色衣服碎片，收集15个碎片可以随机合成一件紫色衣服			
44210003	4	421	75级衣服碎片	0	6	1	0	9999	500	0																			icon_44210001	紫色衣服碎片，收集15个碎片可以随机合成一件紫色衣服			
44210004	4	421	90级衣服碎片	0	6	1	0	9999	500	0																			icon_44210001	紫色衣服碎片，收集15个碎片可以随机合成一件紫色衣服			
44210005	4	421	105级衣服碎片	0	6	1	0	9999	500	0																			icon_44210001	紫色衣服碎片，收集15个碎片可以随机合成一件紫色衣服			
44210006	4	421	120级衣服碎片	0	6	1	0	9999	500	0																			icon_44210001	紫色衣服碎片，收集15个碎片可以随机合成一件紫色衣服			
44210007	4	421	135级衣服碎片	0	6	1	0	9999	500	0																			icon_44210001	紫色衣服碎片，收集15个碎片可以随机合成一件紫色衣服			
44210008	4	421	150级衣服碎片	0	6	1	0	9999	500	0																			icon_44210001	紫色衣服碎片，收集15个碎片可以随机合成一件紫色衣服			
44210009	4	421	160级衣服碎片	0	6	1	0	9999	500	0																			icon_44210001	紫色衣服碎片，收集15个碎片可以随机合成一件紫色衣服			
44210010	4	421	165级衣服碎片	0	6	1	0	9999	500	0																			icon_44210001	紫色衣服碎片，收集15个碎片可以随机合成一件紫色衣服			
44220000	4	422	1级裤子碎片	0	6	1	0	9999	500	0																			icon_44220001	紫色裤子碎片，收集15个碎片可以随机合成一条紫色裤子			
44220001	4	422	45级裤子碎片	0	6	1	0	9999	500	0																			icon_44220001	紫色裤子碎片，收集15个碎片可以随机合成一条紫色裤子			
44220002	4	422	60级裤子碎片	0	6	1	0	9999	500	0																			icon_44220001	紫色裤子碎片，收集15个碎片可以随机合成一条紫色裤子			
44220003	4	422	75级裤子碎片	0	6	1	0	9999	500	0																			icon_44220001	紫色裤子碎片，收集15个碎片可以随机合成一条紫色裤子			
44220004	4	422	90级裤子碎片	0	6	1	0	9999	500	0																			icon_44220001	紫色裤子碎片，收集15个碎片可以随机合成一条紫色裤子			
44220005	4	422	105级裤子碎片	0	6	1	0	9999	500	0																			icon_44220001	紫色裤子碎片，收集15个碎片可以随机合成一条紫色裤子			
44220006	4	422	120级裤子碎片	0	6	1	0	9999	500	0																			icon_44220001	紫色裤子碎片，收集15个碎片可以随机合成一条紫色裤子			
44220007	4	422	135级裤子碎片	0	6	1	0	9999	500	0																			icon_44220001	紫色裤子碎片，收集15个碎片可以随机合成一条紫色裤子			
44220008	4	422	150级裤子碎片	0	6	1	0	9999	500	0																			icon_44220001	紫色裤子碎片，收集15个碎片可以随机合成一条紫色裤子			
44220009	4	422	160级裤子碎片	0	6	1	0	9999	500	0																			icon_44220001	紫色裤子碎片，收集15个碎片可以随机合成一条紫色裤子			
44220010	4	422	165级裤子碎片	0	6	1	0	9999	500	0																			icon_44220001	紫色裤子碎片，收集15个碎片可以随机合成一条紫色裤子			
44230000	4	423	1级鞋子碎片	0	6	1	0	9999	500	0																			icon_44230001	紫色鞋子碎片，收集15个碎片可以随机合成一双紫色鞋子			
44230001	4	423	45级鞋子碎片	0	6	1	0	9999	500	0																			icon_44230001	紫色鞋子碎片，收集15个碎片可以随机合成一双紫色鞋子			
44230002	4	423	60级鞋子碎片	0	6	1	0	9999	500	0																			icon_44230001	紫色鞋子碎片，收集15个碎片可以随机合成一双紫色鞋子			
44230003	4	423	75级鞋子碎片	0	6	1	0	9999	500	0																			icon_44230001	紫色鞋子碎片，收集15个碎片可以随机合成一双紫色鞋子			
44230004	4	423	90级鞋子碎片	0	6	1	0	9999	500	0																			icon_44230001	紫色鞋子碎片，收集15个碎片可以随机合成一双紫色鞋子			
44230005	4	423	105级鞋子碎片	0	6	1	0	9999	500	0																			icon_44230001	紫色鞋子碎片，收集15个碎片可以随机合成一双紫色鞋子			
44230006	4	423	120级鞋子碎片	0	6	1	0	9999	500	0																			icon_44230001	紫色鞋子碎片，收集15个碎片可以随机合成一双紫色鞋子			
44230007	4	423	135级鞋子碎片	0	6	1	0	9999	500	0																			icon_44230001	紫色鞋子碎片，收集15个碎片可以随机合成一双紫色鞋子			
44230008	4	423	150级鞋子碎片	0	6	1	0	9999	500	0																			icon_44230001	紫色鞋子碎片，收集15个碎片可以随机合成一双紫色鞋子			
44230009	4	423	160级鞋子碎片	0	6	1	0	9999	500	0																			icon_44230001	紫色鞋子碎片，收集15个碎片可以随机合成一双紫色鞋子			
44230010	4	423	165级鞋子碎片	0	6	1	0	9999	500	0																			icon_44230001	紫色鞋子碎片，收集15个碎片可以随机合成一双紫色鞋子			
44240000	4	424	1级护腕碎片	0	6	1	0	9999	500	0																			icon_44240001	紫色护腕碎片，收集15个碎片可以随机合成一件紫色护腕			
44240001	4	424	45级护腕碎片	0	6	1	0	9999	500	0																			icon_44240001	紫色护腕碎片，收集15个碎片可以随机合成一件紫色护腕			
44240002	4	424	60级护腕碎片	0	6	1	0	9999	500	0																			icon_44240001	紫色护腕碎片，收集15个碎片可以随机合成一件紫色护腕			
44240003	4	424	75级护腕碎片	0	6	1	0	9999	500	0																			icon_44240001	紫色护腕碎片，收集15个碎片可以随机合成一件紫色护腕			
44240004	4	424	90级护腕碎片	0	6	1	0	9999	500	0																			icon_44240001	紫色护腕碎片，收集15个碎片可以随机合成一件紫色护腕			
44240005	4	424	105级护腕碎片	0	6	1	0	9999	500	0																			icon_44240001	紫色护腕碎片，收集15个碎片可以随机合成一件紫色护腕			
44240006	4	424	120级护腕碎片	0	6	1	0	9999	500	0																			icon_44240001	紫色护腕碎片，收集15个碎片可以随机合成一件紫色护腕			
44240007	4	424	135级护腕碎片	0	6	1	0	9999	500	0																			icon_44240001	紫色护腕碎片，收集15个碎片可以随机合成一件紫色护腕			
44240008	4	424	150级护腕碎片	0	6	1	0	9999	500	0																			icon_44240001	紫色护腕碎片，收集15个碎片可以随机合成一件紫色护腕			
44240009	4	424	160级护腕碎片	0	6	1	0	9999	500	0																			icon_44240001	紫色护腕碎片，收集15个碎片可以随机合成一件紫色护腕			
44240010	4	424	165级护腕碎片	0	6	1	0	9999	500	0																			icon_44240001	紫色护腕碎片，收集15个碎片可以随机合成一件紫色护腕			
44250000	4	425	1级腰带碎片	0	6	1	0	9999	500	0																			icon_44250001	紫色腰带碎片，收集15个碎片可以随机合成一条紫色腰带			
44250001	4	425	45级腰带碎片	0	6	1	0	9999	500	0																			icon_44250001	紫色腰带碎片，收集15个碎片可以随机合成一条紫色腰带			
44250002	4	425	60级腰带碎片	0	6	1	0	9999	500	0																			icon_44250001	紫色腰带碎片，收集15个碎片可以随机合成一条紫色腰带			
44250003	4	425	75级腰带碎片	0	6	1	0	9999	500	0																			icon_44250001	紫色腰带碎片，收集15个碎片可以随机合成一条紫色腰带			
44250004	4	425	90级腰带碎片	0	6	1	0	9999	500	0																			icon_44250001	紫色腰带碎片，收集15个碎片可以随机合成一条紫色腰带			
44250005	4	425	105级腰带碎片	0	6	1	0	9999	500	0																			icon_44250001	紫色腰带碎片，收集15个碎片可以随机合成一条紫色腰带			
44250006	4	425	120级腰带碎片	0	6	1	0	9999	500	0																			icon_44250001	紫色腰带碎片，收集15个碎片可以随机合成一条紫色腰带			
44250007	4	425	135级腰带碎片	0	6	1	0	9999	500	0																			icon_44250001	紫色腰带碎片，收集15个碎片可以随机合成一条紫色腰带			
44250008	4	425	150级腰带碎片	0	6	1	0	9999	500	0																			icon_44250001	紫色腰带碎片，收集15个碎片可以随机合成一条紫色腰带			
44250009	4	425	160级腰带碎片	0	6	1	0	9999	500	0																			icon_44250001	紫色腰带碎片，收集15个碎片可以随机合成一条紫色腰带			
44250010	4	425	165级腰带碎片	0	6	1	0	9999	500	0																			icon_44250001	紫色腰带碎片，收集15个碎片可以随机合成一条紫色腰带			
44260000	4	426	1级饰品碎片	0	6	1	0	9999	500	0																			icon_44260001	紫色饰品碎片，收集15个碎片可以随机合成一件紫色饰品			
44260001	4	426	45级饰品碎片	0	6	1	0	9999	500	0																			icon_44260001	紫色饰品碎片，收集15个碎片可以随机合成一件紫色饰品			
44260002	4	426	60级饰品碎片	0	6	1	0	9999	500	0																			icon_44260001	紫色饰品碎片，收集15个碎片可以随机合成一件紫色饰品			
44260003	4	426	75级饰品碎片	0	6	1	0	9999	500	0																			icon_44260001	紫色饰品碎片，收集15个碎片可以随机合成一件紫色饰品			
44260004	4	426	90级饰品碎片	0	6	1	0	9999	500	0																			icon_44260001	紫色饰品碎片，收集15个碎片可以随机合成一件紫色饰品			
44260005	4	426	105级饰品碎片	0	6	1	0	9999	500	0																			icon_44260001	紫色饰品碎片，收集15个碎片可以随机合成一件紫色饰品			
44260006	4	426	120级饰品碎片	0	6	1	0	9999	500	0																			icon_44260001	紫色饰品碎片，收集15个碎片可以随机合成一件紫色饰品			
44260007	4	426	135级饰品碎片	0	6	1	0	9999	500	0																			icon_44260001	紫色饰品碎片，收集15个碎片可以随机合成一件紫色饰品			
44260008	4	426	150级饰品碎片	0	6	1	0	9999	500	0																			icon_44260001	紫色饰品碎片，收集15个碎片可以随机合成一件紫色饰品			
44260009	4	426	160级饰品碎片	0	6	1	0	9999	500	0																			icon_44260001	紫色饰品碎片，收集15个碎片可以随机合成一件紫色饰品			
44260010	4	426	165级饰品碎片	0	6	1	0	9999	500	0																			icon_44260001	紫色饰品碎片，收集15个碎片可以随机合成一件紫色饰品			
44270000	4	427	1级神秘碎片	0	6	1	0	9999	500	0																			icon_44270001	紫色神秘碎片，收集15个碎片可以随机合成一件紫色装备			
44270001	4	427	45级神秘碎片	0	6	1	0	9999	500	0																			icon_44270001	紫色神秘碎片，收集15个碎片可以随机合成一件紫色装备			
44270002	4	427	60级神秘碎片	0	6	1	0	9999	500	0																			icon_44270001	紫色神秘碎片，收集15个碎片可以随机合成一件紫色装备			
44270003	4	427	75级神秘碎片	0	6	1	0	9999	500	0																			icon_44270001	紫色神秘碎片，收集15个碎片可以随机合成一件紫色装备			
44270004	4	427	90级神秘碎片	0	6	1	0	9999	500	0																			icon_44270001	紫色神秘碎片，收集15个碎片可以随机合成一件紫色装备			
44270005	4	427	105级神秘碎片	0	6	1	0	9999	500	0																			icon_44270001	紫色神秘碎片，收集15个碎片可以随机合成一件紫色装备			
44270006	4	427	120级神秘碎片	0	6	1	0	9999	500	0																			icon_44270001	紫色神秘碎片，收集15个碎片可以随机合成一件紫色装备			
44270007	4	427	135级神秘碎片	0	6	1	0	9999	500	0																			icon_44270001	紫色神秘碎片，收集15个碎片可以随机合成一件紫色装备			
44270008	4	427	150级神秘碎片	0	6	1	0	9999	500	0																			icon_44270001	紫色神秘碎片，收集15个碎片可以随机合成一件紫色装备			
44270009	4	427	160级神秘碎片	0	6	1	0	9999	500	0																			icon_44270001	紫色神秘碎片，收集15个碎片可以随机合成一件紫色装备			
44270010	4	427	165级神秘碎片	0	6	1	0	9999	500	0																			icon_44270001	紫色神秘碎片，收集15个碎片可以随机合成一件紫色装备			
44200100	4	420	1级武器碎片	0	9	1	0	9999	500	0																			icon_44200002	橙色武器碎片，收集30个碎片可以随机合成一件橙色武器			
44200101	4	420	45级武器碎片	0	9	1	0	9999	500	0																			icon_44200002	橙色武器碎片，收集30个碎片可以随机合成一件橙色武器			
44200102	4	420	60级武器碎片	0	9	1	0	9999	500	0																			icon_44200002	橙色武器碎片，收集30个碎片可以随机合成一件橙色武器			
44200103	4	420	75级武器碎片	0	9	1	0	9999	500	0																			icon_44200002	橙色武器碎片，收集30个碎片可以随机合成一件橙色武器			
44200104	4	420	90级武器碎片	0	9	1	0	9999	500	0																			icon_44200002	橙色武器碎片，收集30个碎片可以随机合成一件橙色武器			
44200105	4	420	105级武器碎片	0	9	1	0	9999	500	0																			icon_44200002	橙色武器碎片，收集30个碎片可以随机合成一件橙色武器			
44200106	4	420	120级武器碎片	0	9	1	0	9999	500	0																			icon_44200002	橙色武器碎片，收集30个碎片可以随机合成一件橙色武器			
44200107	4	420	135级武器碎片	0	9	1	0	9999	500	0																			icon_44200002	橙色武器碎片，收集30个碎片可以随机合成一件橙色武器			
44200108	4	420	150级武器碎片	0	9	1	0	9999	500	0																			icon_44200002	橙色武器碎片，收集30个碎片可以随机合成一件橙色武器			
44200109	4	420	160级武器碎片	0	9	1	0	9999	500	0																			icon_44200002	橙色武器碎片，收集30个碎片可以随机合成一件橙色武器			
44200110	4	420	165级武器碎片	0	9	1	0	9999	500	0																			icon_44200002	橙色武器碎片，收集30个碎片可以随机合成一件橙色武器			
44210100	4	421	1级衣服碎片	0	9	1	0	9999	500	0																			icon_44210002	橙色衣服碎片，收集30个碎片可以随机合成一件橙色衣服			
44210101	4	421	45级衣服碎片	0	9	1	0	9999	500	0																			icon_44210002	橙色衣服碎片，收集30个碎片可以随机合成一件橙色衣服			
44210102	4	421	60级衣服碎片	0	9	1	0	9999	500	0																			icon_44210002	橙色衣服碎片，收集30个碎片可以随机合成一件橙色衣服			
44210103	4	421	75级衣服碎片	0	9	1	0	9999	500	0																			icon_44210002	橙色衣服碎片，收集30个碎片可以随机合成一件橙色衣服			
44210104	4	421	90级衣服碎片	0	9	1	0	9999	500	0																			icon_44210002	橙色衣服碎片，收集30个碎片可以随机合成一件橙色衣服			
44210105	4	421	105级衣服碎片	0	9	1	0	9999	500	0																			icon_44210002	橙色衣服碎片，收集30个碎片可以随机合成一件橙色衣服			
44210106	4	421	120级衣服碎片	0	9	1	0	9999	500	0																			icon_44210002	橙色衣服碎片，收集30个碎片可以随机合成一件橙色衣服			
44210107	4	421	135级衣服碎片	0	9	1	0	9999	500	0																			icon_44210002	橙色衣服碎片，收集30个碎片可以随机合成一件橙色衣服			
44210108	4	421	150级衣服碎片	0	9	1	0	9999	500	0																			icon_44210002	橙色衣服碎片，收集30个碎片可以随机合成一件橙色衣服			
44210109	4	421	160级衣服碎片	0	9	1	0	9999	500	0																			icon_44210002	橙色衣服碎片，收集30个碎片可以随机合成一件橙色衣服			
44210110	4	421	165级衣服碎片	0	9	1	0	9999	500	0																			icon_44210002	橙色衣服碎片，收集30个碎片可以随机合成一件橙色衣服			
44220100	4	422	1级裤子碎片	0	9	1	0	9999	500	0																			icon_44220002	橙色裤子碎片，收集30个碎片可以随机合成一条橙色裤子			
44220101	4	422	45级裤子碎片	0	9	1	0	9999	500	0																			icon_44220002	橙色裤子碎片，收集30个碎片可以随机合成一条橙色裤子			
44220102	4	422	60级裤子碎片	0	9	1	0	9999	500	0																			icon_44220002	橙色裤子碎片，收集30个碎片可以随机合成一条橙色裤子			
44220103	4	422	75级裤子碎片	0	9	1	0	9999	500	0																			icon_44220002	橙色裤子碎片，收集30个碎片可以随机合成一条橙色裤子			
44220104	4	422	90级裤子碎片	0	9	1	0	9999	500	0																			icon_44220002	橙色裤子碎片，收集30个碎片可以随机合成一条橙色裤子			
44220105	4	422	105级裤子碎片	0	9	1	0	9999	500	0																			icon_44220002	橙色裤子碎片，收集30个碎片可以随机合成一条橙色裤子			
44220106	4	422	120级裤子碎片	0	9	1	0	9999	500	0																			icon_44220002	橙色裤子碎片，收集30个碎片可以随机合成一条橙色裤子			
44220107	4	422	135级裤子碎片	0	9	1	0	9999	500	0																			icon_44220002	橙色裤子碎片，收集30个碎片可以随机合成一条橙色裤子			
44220108	4	422	150级裤子碎片	0	9	1	0	9999	500	0																			icon_44220002	橙色裤子碎片，收集30个碎片可以随机合成一条橙色裤子			
44220109	4	422	160级裤子碎片	0	9	1	0	9999	500	0																			icon_44220002	橙色裤子碎片，收集30个碎片可以随机合成一条橙色裤子			
44220110	4	422	165级裤子碎片	0	9	1	0	9999	500	0																			icon_44220002	橙色裤子碎片，收集30个碎片可以随机合成一条橙色裤子			
44230100	4	423	1级鞋子碎片	0	9	1	0	9999	500	0																			icon_44230002	橙色鞋子碎片，收集30个碎片可以随机合成一双橙色鞋子			
44230101	4	423	45级鞋子碎片	0	9	1	0	9999	500	0																			icon_44230002	橙色鞋子碎片，收集30个碎片可以随机合成一双橙色鞋子			
44230102	4	423	60级鞋子碎片	0	9	1	0	9999	500	0																			icon_44230002	橙色鞋子碎片，收集30个碎片可以随机合成一双橙色鞋子			
44230103	4	423	75级鞋子碎片	0	9	1	0	9999	500	0																			icon_44230002	橙色鞋子碎片，收集30个碎片可以随机合成一双橙色鞋子			
44230104	4	423	90级鞋子碎片	0	9	1	0	9999	500	0																			icon_44230002	橙色鞋子碎片，收集30个碎片可以随机合成一双橙色鞋子			
44230105	4	423	105级鞋子碎片	0	9	1	0	9999	500	0																			icon_44230002	橙色鞋子碎片，收集30个碎片可以随机合成一双橙色鞋子			
44230106	4	423	120级鞋子碎片	0	9	1	0	9999	500	0																			icon_44230002	橙色鞋子碎片，收集30个碎片可以随机合成一双橙色鞋子			
44230107	4	423	135级鞋子碎片	0	9	1	0	9999	500	0																			icon_44230002	橙色鞋子碎片，收集30个碎片可以随机合成一双橙色鞋子			
44230108	4	423	150级鞋子碎片	0	9	1	0	9999	500	0																			icon_44230002	橙色鞋子碎片，收集30个碎片可以随机合成一双橙色鞋子			
44230109	4	423	160级鞋子碎片	0	9	1	0	9999	500	0																			icon_44230002	橙色鞋子碎片，收集30个碎片可以随机合成一双橙色鞋子			
44230110	4	423	165级鞋子碎片	0	9	1	0	9999	500	0																			icon_44230002	橙色鞋子碎片，收集30个碎片可以随机合成一双橙色鞋子			
44240100	4	424	1级护腕碎片	0	9	1	0	9999	500	0																			icon_44240002	橙色护腕碎片，收集30个碎片可以随机合成一件橙色护腕			
44240101	4	424	45级护腕碎片	0	9	1	0	9999	500	0																			icon_44240002	橙色护腕碎片，收集30个碎片可以随机合成一件橙色护腕			
44240102	4	424	60级护腕碎片	0	9	1	0	9999	500	0																			icon_44240002	橙色护腕碎片，收集30个碎片可以随机合成一件橙色护腕			
44240103	4	424	75级护腕碎片	0	9	1	0	9999	500	0																			icon_44240002	橙色护腕碎片，收集30个碎片可以随机合成一件橙色护腕			
44240104	4	424	90级护腕碎片	0	9	1	0	9999	500	0																			icon_44240002	橙色护腕碎片，收集30个碎片可以随机合成一件橙色护腕			
44240105	4	424	105级护腕碎片	0	9	1	0	9999	500	0																			icon_44240002	橙色护腕碎片，收集30个碎片可以随机合成一件橙色护腕			
44240106	4	424	120级护腕碎片	0	9	1	0	9999	500	0																			icon_44240002	橙色护腕碎片，收集30个碎片可以随机合成一件橙色护腕			
44240107	4	424	135级护腕碎片	0	9	1	0	9999	500	0																			icon_44240002	橙色护腕碎片，收集30个碎片可以随机合成一件橙色护腕			
44240108	4	424	150级护腕碎片	0	9	1	0	9999	500	0																			icon_44240002	橙色护腕碎片，收集30个碎片可以随机合成一件橙色护腕			
44240109	4	424	160级护腕碎片	0	9	1	0	9999	500	0																			icon_44240002	橙色护腕碎片，收集30个碎片可以随机合成一件橙色护腕			
44240110	4	424	165级护腕碎片	0	9	1	0	9999	500	0																			icon_44240002	橙色护腕碎片，收集30个碎片可以随机合成一件橙色护腕			
44250100	4	425	1级腰带碎片	0	9	1	0	9999	500	0																			icon_44250002	橙色腰带碎片，收集30个碎片可以随机合成一条橙色腰带			
44250101	4	425	45级腰带碎片	0	9	1	0	9999	500	0																			icon_44250002	橙色腰带碎片，收集30个碎片可以随机合成一条橙色腰带			
44250102	4	425	60级腰带碎片	0	9	1	0	9999	500	0																			icon_44250002	橙色腰带碎片，收集30个碎片可以随机合成一条橙色腰带			
44250103	4	425	75级腰带碎片	0	9	1	0	9999	500	0																			icon_44250002	橙色腰带碎片，收集30个碎片可以随机合成一条橙色腰带			
44250104	4	425	90级腰带碎片	0	9	1	0	9999	500	0																			icon_44250002	橙色腰带碎片，收集30个碎片可以随机合成一条橙色腰带			
44250105	4	425	105级腰带碎片	0	9	1	0	9999	500	0																			icon_44250002	橙色腰带碎片，收集30个碎片可以随机合成一条橙色腰带			
44250106	4	425	120级腰带碎片	0	9	1	0	9999	500	0																			icon_44250002	橙色腰带碎片，收集30个碎片可以随机合成一条橙色腰带			
44250107	4	425	135级腰带碎片	0	9	1	0	9999	500	0																			icon_44250002	橙色腰带碎片，收集30个碎片可以随机合成一条橙色腰带			
44250108	4	425	150级腰带碎片	0	9	1	0	9999	500	0																			icon_44250002	橙色腰带碎片，收集30个碎片可以随机合成一条橙色腰带			
44250109	4	425	160级腰带碎片	0	9	1	0	9999	500	0																			icon_44250002	橙色腰带碎片，收集30个碎片可以随机合成一条橙色腰带			
44250110	4	425	165级腰带碎片	0	9	1	0	9999	500	0																			icon_44250002	橙色腰带碎片，收集30个碎片可以随机合成一条橙色腰带			
44260100	4	426	1级饰品碎片	0	9	1	0	9999	500	0																			icon_44260002	橙色饰品碎片，收集30个碎片可以随机合成一件橙色饰品			
44260101	4	426	45级饰品碎片	0	9	1	0	9999	500	0																			icon_44260002	橙色饰品碎片，收集30个碎片可以随机合成一件橙色饰品			
44260102	4	426	60级饰品碎片	0	9	1	0	9999	500	0																			icon_44260002	橙色饰品碎片，收集30个碎片可以随机合成一件橙色饰品			
44260103	4	426	75级饰品碎片	0	9	1	0	9999	500	0																			icon_44260002	橙色饰品碎片，收集30个碎片可以随机合成一件橙色饰品			
44260104	4	426	90级饰品碎片	0	9	1	0	9999	500	0																			icon_44260002	橙色饰品碎片，收集30个碎片可以随机合成一件橙色饰品			
44260105	4	426	105级饰品碎片	0	9	1	0	9999	500	0																			icon_44260002	橙色饰品碎片，收集30个碎片可以随机合成一件橙色饰品			
44260106	4	426	120级饰品碎片	0	9	1	0	9999	500	0																			icon_44260002	橙色饰品碎片，收集30个碎片可以随机合成一件橙色饰品			
44260107	4	426	135级饰品碎片	0	9	1	0	9999	500	0																			icon_44260002	橙色饰品碎片，收集30个碎片可以随机合成一件橙色饰品			
44260108	4	426	150级饰品碎片	0	9	1	0	9999	500	0																			icon_44260002	橙色饰品碎片，收集30个碎片可以随机合成一件橙色饰品			
