宠物职业	天赋编号	图标	天赋名称	天赋描述	属性1编号	属性1数值	属性1百分比	要提升等级的技能ID	等级提升量	前提条件编号	可激活次数	单次额外加战斗力	单次消耗领悟点	单次消耗材料	铜钱消耗
2	7	PetTalent_3_3	뇌정만균	각성마다 펫 치명 1000 상승	3	1000				5,	3		3	4,44370001,60;	30000
2	8	PetTalent_1_1	날쌘제비	각성마다 펫 회피 1000 상승	6	1000				5,	3		3	4,44370001,60;	30000
2	9	PetTalent_2_1	백발백중	각성마다 펫 명중 1000 상승	5	1000				5,	3		3	4,44370001,60;	30000
2	10	PetTalent_1_2	창룡의힘	각성마다 펫 공격 2% 상승	1		2			7,	3		3	4,44370001,120;	30000
2	11	PetTalent_5_1	강근철골	각성마다 펫 방어 2% 상승	2		2			8,	3		3	4,44370001,120;	30000
2	12	PetTalent_4_3	자유자재	각성마다 펫 내성 1000 상승	4	1000				9,	3		3	4,44370001,60;	30000
2	13	PetTalent_2_3	불멸봉황	각성마다 펫 생명 3% 상승	0		3			10,11,	3		5	4,44370001,200;4,44370002,120;	50000
2	15	PetTalent_4_1	일월의정령	각성마다 펫 생명 2% 상승	0		2			12,	3		3	4,44370001,120;	30000
2	16	pet_skill5_2	분화여향	각성마다 펫 방어 3% 상승	2		3			13,	3		5	4,44370001,260;4,44370002,200;	50000
2	17	PetTalent_5_3	항룡의힘	각성마다 펫 공격 3% 상승	1		3			15,	3		5	4,44370001,200;4,44370002,120;	50000
2	18	PetTalent_1_3	현무현세	각성마다 펫 방어 3% 상승	2		3			15,	3		5	4,44370001,200;4,44370002,120;	50000
2	21	pet_skill5_3	연리공영	각성마다 펫 공격 3% 상승	1		3			17,18,	3		5	4,44370001,280;4,44370002,300;	50000
2	24	PetTalent_3_1	천둥소생	각성마다 펫 생명 1% 상승	0		1			21,	5		3	4,44370001,900;4,44370002,350;	200000
3	1	PetTalent_2_2	추룡의힘	각성마다 펫 공격 300 상승	1	300					3		1	4,44370001,10;	10000
3	2	PetTalent_5_2	견약반석	각성마다 펫 방어 80 상승	2	80					3		1	4,44370001,10;	10000
3	3	PetTalent_4_2	생기발랄	각성마다 펫 생명 7000 상승	0	7000					3		1	4,44370001,10;	10000
3	5	pet_skill7_3	견인불굴	각성마다 "견인불굴" 스킬공격 상승				100702	2	1,2,3,	3	1500	1	4,44370001,30;4,44370002,30;	10000
3	7	PetTalent_3_3	뇌정만균	각성마다 펫 치명 1000 상승	3	1000				5,	3		3	4,44370001,60;	30000
3	8	PetTalent_1_1	날쌘제비	각성마다 펫 회피 1000 상승	6	1000				5,	3		3	4,44370001,60;	30000
3	9	PetTalent_2_1	백발백중	각성마다 펫 명중 1000 상승	5	1000				5,	3		3	4,44370001,60;	30000
3	10	PetTalent_1_2	창룡의힘	각성마다 펫 공격 2% 상승	1		2			7,	3		3	4,44370001,120;	30000
3	11	PetTalent_5_1	강근철골	각성마다 펫 방어 2% 상승	2		2			8,	3		3	4,44370001,120;	30000
3	12	PetTalent_4_3	자유자재	각성마다 펫 내성 1000 상승	4	1000				9,	3		3	4,44370001,60;	30000
3	13	PetTalent_2_3	불멸봉황	각성마다 펫 생명 3% 상승	0		3			10,11,	3		5	4,44370001,200;4,44370002,120;	50000
3	15	PetTalent_4_1	일월의정령	각성마다 펫 생명 2% 상승	0		2			12,	3		3	4,44370001,120;	30000
3	16	pet_skill7_1	석파천경	각성마다 "석파천경" 스킬공격 상승				100701	11	13,	3	3000	5	4,44370001,260;4,44370002,200;	50000
3	17	PetTalent_5_3	항룡의힘	각성마다 펫 공격 3% 상승	1		3			15,	3		5	4,44370001,200;4,44370002,120;	50000
3	18	PetTalent_1_3	현무현세	각성마다 펫 방어 3% 상승	2		3			15,	3		5	4,44370001,200;4,44370002,120;	50000
3	21	pet_skill7_2	철옹성	각성마다 "철옹성" 스킬공격 상승				100703	11	17,18,	3	4000	5	4,44370001,280;4,44370002,300;	50000
3	24	PetTalent_3_1	천둥소생	각성마다 펫 생명 1% 상승	0		1			21,	5		3	4,44370001,900;4,44370002,350;	200000
4	1	PetTalent_2_2	추룡의힘	각성마다 펫 공격 300 상승	1	300					3		1	4,44370001,10;	10000
4	2	PetTalent_5_2	견약반석	각성마다 펫 방어 80 상승	2	80					3		1	4,44370001,10;	10000
4	3	PetTalent_4_2	생기발랄	각성마다 펫 생명 7000 상승	0	7000					3		1	4,44370001,10;	10000
4	5	pet_skill1_1	수라파	각성마다 "수라파" 스킬공격 상승				100301	2	1,2,3,	3	1500	1	4,44370001,30;4,44370002,30;	10000
4	7	PetTalent_3_3	뇌정만균	각성마다 펫 치명 1000 상승	3	1000				5,	3		3	4,44370001,60;	30000
4	8	PetTalent_1_1	날쌘제비	각성마다 펫 회피 1000 상승	6	1000				5,	3		3	4,44370001,60;	30000
4	9	PetTalent_2_1	백발백중	각성마다 펫 명중 1000 상승	5	1000				5,	3		3	4,44370001,60;	30000
4	10	PetTalent_1_2	창룡의힘	각성마다 펫 공격 2% 상승	1		2			7,	3		3	4,44370001,120;	30000
4	11	PetTalent_5_1	강근철골	각성마다 펫 방어 2% 상승	2		2			8,	3		3	4,44370001,120;	30000
4	12	PetTalent_4_3	자유자재	각성마다 펫 내성 1000 상승	4	1000				9,	3		3	4,44370001,60;	30000
4	13	PetTalent_2_3	불멸봉황	각성마다 펫 생명 3% 상승	0		3			10,11,	3		5	4,44370001,200;4,44370002,120;	50000
4	15	PetTalent_4_1	일월의정령	각성마다 펫 생명 2% 상승	0		2			12,	3		3	4,44370001,120;	30000
4	16	pet_skill1_2	수라노	각성마다 "수라노" 스킬공격 상승				100302	11	13,	3	3000	5	4,44370001,260;4,44370002,200;	50000
4	17	PetTalent_5_3	항룡의힘	각성마다 펫 공격 3% 상승	1		3			15,	3		5	4,44370001,200;4,44370002,120;	50000
4	18	PetTalent_1_3	현무현세	각성마다 펫 방어 3% 상승	2		3			15,	3		5	4,44370001,200;4,44370002,120;	50000
4	21	pet_skill1_3	수라살	각성마다 "수라살" 스킬공격 상승				100303	11	17,18,	3	4000	5	4,44370001,280;4,44370002,300;	50000
4	24	PetTalent_3_1	천둥소생	각성마다 펫 생명 1% 상승	0		1			21,	5		3	4,44370001,900;4,44370002,350;	200000
5	1	PetTalent_2_2	추룡의힘	각성마다 펫 공격 300 상승	1	300					3		1	4,44370001,10;	10000
5	2	PetTalent_5_2	견약반석	각성마다 펫 방어 80 상승	2	80					3		1	4,44370001,10;	10000
5	3	PetTalent_4_2	생기발랄	각성마다 펫 생명 7000 상승	0	7000					3		1	4,44370001,10;	10000
5	5	pet_skill2_1	노화광주	각성마다 "노화광주" 스킬공격 상승				100101	2	1,2,3,	3	1500	1	4,44370001,30;4,44370002,30;	10000
5	7	PetTalent_3_3	뇌정만균	각성마다 펫 치명 1000 상승	3	1000				5,	3		3	4,44370001,60;	30000
5	8	PetTalent_1_1	날쌘제비	각성마다 펫 회피 1000 상승	6	1000				5,	3		3	4,44370001,60;	30000
5	9	PetTalent_2_1	백발백중	각성마다 펫 명중 1000 상승	5	1000				5,	3		3	4,44370001,60;	30000
5	10	PetTalent_1_2	창룡의힘	각성마다 펫 공격 2% 상승	1		2			7,	3		3	4,44370001,120;	30000
5	11	PetTalent_5_1	강근철골	각성마다 펫 방어 2% 상승	2		2			8,	3		3	4,44370001,120;	30000
5	12	PetTalent_4_3	자유자재	각성마다 펫 내성 1000 상승	4	1000				9,	3		3	4,44370001,60;	30000
5	13	PetTalent_2_3	불멸봉황	각성마다 펫 생명 3% 상승	0		3			10,11,	3		5	4,44370001,200;4,44370002,120;	50000
5	15	PetTalent_4_1	일월의정령	각성마다 펫 생명 2% 상승	0		2			12,	3		3	4,44370001,120;	30000
5	16	pet_skill2_2	열화분신	각성마다 "열화분신" 스킬공격 상승				100103	11	13,	3	3000	5	4,44370001,260;4,44370002,200;	50000
5	17	PetTalent_5_3	항룡의힘	각성마다 펫 공격 3% 상승	1		3			15,	3		5	4,44370001,200;4,44370002,120;	50000
5	18	PetTalent_1_3	현무현세	각성마다 펫 방어 3% 상승	2		3			15,	3		5	4,44370001,200;4,44370002,120;	50000
5	21	pet_skill2_3	열염무쌍	각성마다 "열염무쌍" 스킬공격 상승				100102	11	17,18,	3	4000	5	4,44370001,280;4,44370002,300;	50000
5	24	PetTalent_3_1	천둥소생	각성마다 펫 생명 1% 상승	0		1			21,	5		3	4,44370001,900;4,44370002,350;	200000
6	1	PetTalent_2_2	추룡의힘	각성마다 펫 공격 300 상승	1	300					3		1	4,44370001,10;	10000
6	2	PetTalent_5_2	견약반석	각성마다 펫 방어 80 상승	2	80					3		1	4,44370001,10;	10000
6	3	PetTalent_4_2	생기발랄	각성마다 펫 생명 7000 상승	0	7000					3		1	4,44370001,10;	10000
6	5	pet_skill3_1	섭혼	각성마다 "섭혼" 스킬공격 상승				100201	2	1,2,3,	3	1500	1	4,44370001,30;4,44370002,30;	10000
6	7	PetTalent_3_3	뇌정만균	각성마다 펫 치명 1000 상승	3	1000				5,	3		3	4,44370001,60;	30000
6	8	PetTalent_1_1	날쌘제비	각성마다 펫 회피 1000 상승	6	1000				5,	3		3	4,44370001,60;	30000
6	9	PetTalent_2_1	백발백중	각성마다 펫 명중 1000 상승	5	1000				5,	3		3	4,44370001,60;	30000
6	10	PetTalent_1_2	창룡의힘	각성마다 펫 공격 2% 상승	1		2			7,	3		3	4,44370001,120;	30000
6	11	PetTalent_5_1	강근철골	각성마다 펫 방어 2% 상승	2		2			8,	3		3	4,44370001,120;	30000
6	12	PetTalent_4_3	자유자재	각성마다 펫 내성 1000 상승	4	1000				9,	3		3	4,44370001,60;	30000
6	13	PetTalent_2_3	불멸봉황	각성마다 펫 생명 3% 상승	0		3			10,11,	3		5	4,44370001,200;4,44370002,120;	50000
6	15	PetTalent_4_1	일월의정령	각성마다 펫 생명 2% 상승	0		2			12,	3		3	4,44370001,120;	30000
6	16	pet_skill3_2	구혼	각성마다 "구혼" 스킬공격 상승				100202	11	13,	3	3000	5	4,44370001,260;4,44370002,200;	50000
6	17	PetTalent_5_3	항룡의힘	각성마다 펫 공격 3% 상승	1		3			15,	3		5	4,44370001,200;4,44370002,120;	50000
6	18	PetTalent_1_3	현무현세	각성마다 펫 방어 3% 상승	2		3			15,	3		5	4,44370001,200;4,44370002,120;	50000
6	21	pet_skill3_3	멸혼	각성마다 "멸혼" 스킬공격 상승				100203	11	17,18,	3	4000	5	4,44370001,280;4,44370002,300;	50000
6	24	PetTalent_3_1	천둥소생	각성마다 펫 생명 1% 상승	0		1			21,	5		3	4,44370001,900;4,44370002,350;	200000
7	1	PetTalent_2_2	추룡의힘	각성마다 펫 공격 300 상승	1	300					3		1	4,44370001,10;	10000
7	2	PetTalent_5_2	견약반석	각성마다 펫 방어 80 상승	2	80					3		1	4,44370001,10;	10000
7	3	PetTalent_4_2	생기발랄	각성마다 펫 생명 7000 상승	0	7000					3		1	4,44370001,10;	10000
7	5	pet_skill4_1	주요결	각성마다 "주요결" 스킬공격 상승				100401	2	1,2,3,	3	1500	1	4,44370001,30;4,44370002,30;	10000
7	7	PetTalent_3_3	뇌정만균	각성마다 펫 치명 1000 상승	3	1000				5,	3		3	4,44370001,60;	30000
7	8	PetTalent_1_1	날쌘제비	각성마다 펫 회피 1000 상승	6	1000				5,	3		3	4,44370001,60;	30000
7	9	PetTalent_2_1	백발백중	각성마다 펫 명중 1000 상승	5	1000				5,	3		3	4,44370001,60;	30000
7	10	PetTalent_1_2	창룡의힘	각성마다 펫 공격 2% 상승	1		2			7,	3		3	4,44370001,120;	30000
7	11	PetTalent_5_1	강근철골	각성마다 펫 방어 2% 상승	2		2			8,	3		3	4,44370001,120;	30000
7	12	PetTalent_4_3	자유자재	각성마다 펫 내성 1000 상승	4	1000				9,	3		3	4,44370001,60;	30000
7	13	PetTalent_2_3	불멸봉황	각성마다 펫 생명 3% 상승	0		3			10,11,	3		5	4,44370001,200;4,44370002,120;	50000
7	15	PetTalent_4_1	일월의정령	각성마다 펫 생명 2% 상승	0		2			12,	3		3	4,44370001,120;	30000
7	16	pet_skill4_2	주선결	각성마다 "주선결" 스킬공격 상승				100402	11	13,	3	3000	5	4,44370001,260;4,44370002,200;	50000
7	17	PetTalent_5_3	항룡의힘	각성마다 펫 공격 3% 상승	1		3			15,	3		5	4,44370001,200;4,44370002,120;	50000
7	18	PetTalent_1_3	현무현세	각성마다 펫 방어 3% 상승	2		3			15,	3		5	4,44370001,200;4,44370002,120;	50000
7	21	pet_skill4_3	낙영팔식	각성마다 "낙영팔식" 스킬공격 상승				100403	11	17,18,	3	4000	5	4,44370001,280;4,44370002,300;	50000
7	24	PetTalent_3_1	천둥소생	각성마다 펫 생명 1% 상승	0		1			21,	5		3	4,44370001,900;4,44370002,350;	200000
8	1	PetTalent_2_2	추룡의힘	각성마다 펫 공격 300 상승	1	300					3		1	4,44370001,10;	10000
8	2	PetTalent_5_2	견약반석	각성마다 펫 방어 80 상승	2	80					3		1	4,44370001,10;	10000
8	3	PetTalent_4_2	생기발랄	각성마다 펫 생명 7000 상승	0	7000					3		1	4,44370001,10;	10000
8	5	pet_skill9_1	경풍파랑	각성마다 "경풍파랑" 스킬공격 상승				100901	2	1,2,3,	3	1500	1	4,44370001,30;4,44370002,30;	10000
8	7	PetTalent_3_3	뇌정만균	각성마다 펫 치명 1000 상승	3	1000				5,	3		3	4,44370001,60;	30000
8	8	PetTalent_1_1	날쌘제비	각성마다 펫 회피 1000 상승	6	1000				5,	3		3	4,44370001,60;	30000
8	9	PetTalent_2_1	백발백중	각성마다 펫 명중 1000 상승	5	1000				5,	3		3	4,44370001,60;	30000
8	10	PetTalent_1_2	창룡의힘	각성마다 펫 공격 2% 상승	1		2			7,	3		3	4,44370001,120;	30000
8	11	PetTalent_5_1	강근철골	각성마다 펫 방어 2% 상승	2		2			8,	3		3	4,44370001,120;	30000
8	12	PetTalent_4_3	자유자재	각성마다 펫 내성 1000 상승	4	1000				9,	3		3	4,44370001,60;	30000
8	13	PetTalent_2_3	불멸봉황	각성마다 펫 생명 3% 상승	0		3			10,11,	3		5	4,44370001,200;4,44370002,120;	50000
8	15	PetTalent_4_1	일월의정령	각성마다 펫 생명 2% 상승	0		2			12,	3		3	4,44370001,120;	30000
8	16	pet_skill9_2	번강도해	각성마다 "번강도해" 스킬공격 상승				100902	11	13,	3	3000	5	4,44370001,260;4,44370002,200;	50000
8	17	PetTalent_5_3	항룡의힘	각성마다 펫 공격 3% 상승	1		3			15,	3		5	4,44370001,200;4,44370002,120;	50000
8	18	PetTalent_1_3	현무현세	각성마다 펫 방어 3% 상승	2		3			15,	3		5	4,44370001,200;4,44370002,120;	50000
8	21	pet_skill9_3	거랑광권	각성마다 "거랑광권" 스킬공격 상승				100903	11	17,18,	3	4000	5	4,44370001,280;4,44370002,300;	50000
8	24	PetTalent_3_1	천둥소생	각성마다 펫 생명 1% 상승	0		1			21,	5		3	4,44370001,900;4,44370002,350;	200000
9	1	PetTalent_2_2	추룡의힘	각성마다 펫 공격 300 상승	1	300					3		1	4,44370001,10;	10000
9	2	PetTalent_5_2	견약반석	각성마다 펫 방어 80 상승	2	80					3		1	4,44370001,10;	10000
9	3	PetTalent_4_2	생기발랄	각성마다 펫 생명 7000 상승	0	7000					3		1	4,44370001,10;	10000
9	5	pet_skill10_1	전기복어	각성마다 "전기복어" 스킬공격 상승				101001	2	1,2,3,	3	1500	1	4,44370001,30;4,44370002,30;	10000
9	7	PetTalent_3_3	뇌정만균	각성마다 펫 치명 1000 상승	3	1000				5,	3		3	4,44370001,60;	30000
9	8	PetTalent_1_1	날쌘제비	각성마다 펫 회피 1000 상승	6	1000				5,	3		3	4,44370001,60;	30000
9	9	PetTalent_2_1	백발백중	각성마다 펫 명중 1000 상승	5	1000				5,	3		3	4,44370001,60;	30000
9	10	PetTalent_1_2	창룡의힘	각성마다 펫 공격 2% 상승	1		2			7,	3		3	4,44370001,120;	30000
9	11	PetTalent_5_1	강근철골	각성마다 펫 방어 2% 상승	2		2			8,	3		3	4,44370001,120;	30000
9	12	PetTalent_4_3	자유자재	각성마다 펫 내성 1000 상승	4	1000				9,	3		3	4,44370001,60;	30000
9	13	PetTalent_2_3	불멸봉황	각성마다 펫 생명 3% 상승	0		3			10,11,	3		5	4,44370001,200;4,44370002,120;	50000
9	15	PetTalent_4_1	일월의정령	각성마다 펫 생명 2% 상승	0		2			12,	3		3	4,44370001,120;	30000
9	16	pet_skill10_2	선풍비수	각성마다 "선풍비수" 스킬공격 상승				101002	11	13,	3	3000	5	4,44370001,260;4,44370002,200;	50000
9	17	PetTalent_5_3	항룡의힘	각성마다 펫 공격 3% 상승	1		3			15,	3		5	4,44370001,200;4,44370002,120;	50000
9	18	PetTalent_1_3	현무현세	각성마다 펫 방어 3% 상승	2		3			15,	3		5	4,44370001,200;4,44370002,120;	50000
9	21	pet_skill10_3	수중폭탄	각성마다 "수중폭탄" 스킬공격 상승				101003	11	17,18,	3	4000	5	4,44370001,280;4,44370002,300;	50000
9	24	PetTalent_3_1	천둥소생	각성마다 펫 생명 1% 상승	0		1			21,	5		3	4,44370001,900;4,44370002,350;	200000
10	1	PetTalent_2_2	추룡의힘	각성마다 펫 공격 300 상승	1	300					3		1	4,44370001,10;	10000
10	2	PetTalent_5_2	견약반석	각성마다 펫 방어 80 상승	2	80					3		1	4,44370001,10;	10000
10	3	PetTalent_4_2	생기발랄	각성마다 펫 생명 7000 상승	0	7000					3		1	4,44370001,10;	10000
10	5	pet_skill11_1	유혼마법	각성마다 "유혼마법" 스킬공격 상승				101101	2	1,2,3,	3	1500	1	4,44370001,30;4,44370002,30;	10000
10	7	PetTalent_3_3	뇌정만균	각성마다 펫 치명 1000 상승	3	1000				5,	3		3	4,44370001,60;	30000
10	8	PetTalent_1_1	날쌘제비	각성마다 펫 회피 1000 상승	6	1000				5,	3		3	4,44370001,60;	30000
10	9	PetTalent_2_1	백발백중	각성마다 펫 명중 1000 상승	5	1000				5,	3		3	4,44370001,60;	30000
10	10	PetTalent_1_2	창룡의힘	각성마다 펫 공격 2% 상승	1		2			7,	3		3	4,44370001,120;	30000
10	11	PetTalent_5_1	강근철골	각성마다 펫 방어 2% 상승	2		2			8,	3		3	4,44370001,120;	30000
10	12	PetTalent_4_3	자유자재	각성마다 펫 내성 1000 상승	4	1000				9,	3		3	4,44370001,60;	30000
10	13	PetTalent_2_3	불멸봉황	각성마다 펫 생명 3% 상승	0		3			10,11,	3		5	4,44370001,200;4,44370002,120;	50000
10	15	PetTalent_4_1	일월의정령	각성마다 펫 생명 2% 상승	0		2			12,	3		3	4,44370001,120;	30000
10	16	pet_skill11_2	유혼현기	각성마다 "유혼현기" 스킬공격 상승				101102	11	13,	3	3000	5	4,44370001,260;4,44370002,200;	50000
10	17	PetTalent_5_3	항룡의힘	각성마다 펫 공격 3% 상승	1		3			15,	3		5	4,44370001,200;4,44370002,120;	50000
10	18	PetTalent_1_3	현무현세	각성마다 펫 방어 3% 상승	2		3			15,	3		5	4,44370001,200;4,44370002,120;	50000
10	21	pet_skill11_3	유혼노화	각성마다 "유혼노화" 스킬공격 상승				101103	11	17,18,	3	4000	5	4,44370001,280;4,44370002,300;	50000
10	24	PetTalent_3_1	천둥소생	각성마다 펫 생명 1% 상승	0		1			21,	5		3	4,44370001,900;4,44370002,350;	200000
11	1	PetTalent_2_2	추룡의힘	각성마다 펫 공격 300 상승	1	300					3		1	4,44370001,10;	10000
11	2	PetTalent_5_2	견약반석	각성마다 펫 방어 80 상승	2	80					3		1	4,44370001,10;	10000
11	3	PetTalent_4_2	생기발랄	각성마다 펫 생명 7000 상승	0	7000					3		1	4,44370001,10;	10000
11	5	pet_skill12_1	충돌	각성마다 "충돌" 스킬공격 상승				101201	2	1,2,3,	3	1500	1	4,44370001,30;4,44370002,30;	10000
11	7	PetTalent_3_3	뇌정만균	각성마다 펫 치명 1000 상승	3	1000				5,	3		3	4,44370001,60;	30000
11	8	PetTalent_1_1	날쌘제비	각성마다 펫 회피 1000 상승	6	1000				5,	3		3	4,44370001,60;	30000
11	9	PetTalent_2_1	백발백중	각성마다 펫 명중 1000 상승	5	1000				5,	3		3	4,44370001,60;	30000
11	10	PetTalent_1_2	창룡의힘	각성마다 펫 공격 2% 상승	1		2			7,	3		3	4,44370001,120;	30000
11	11	PetTalent_5_1	강근철골	각성마다 펫 방어 2% 상승	2		2			8,	3		3	4,44370001,120;	30000
11	12	PetTalent_4_3	자유자재	각성마다 펫 내성 1000 상승	4	1000				9,	3		3	4,44370001,60;	30000
11	13	PetTalent_2_3	불멸봉황	각성마다 펫 생명 3% 상승	0		3			10,11,	3		5	4,44370001,200;4,44370002,120;	50000
11	15	PetTalent_4_1	일월의정령	각성마다 펫 생명 2% 상승	0		2			12,	3		3	4,44370001,120;	30000
11	16	pet_skill12_2	작열지기	각성마다 "작열지기" 스킬공격 상승				101202	11	13,	3	3000	5	4,44370001,260;4,44370002,200;	50000
11	17	PetTalent_5_3	항룡의힘	각성마다 펫 공격 3% 상승	1		3			15,	3		5	4,44370001,200;4,44370002,120;	50000
11	18	PetTalent_1_3	현무현세	각성마다 펫 방어 3% 상승	2		3			15,	3		5	4,44370001,200;4,44370002,120;	50000
11	21	pet_skill12_3	혼돈운석	각성마다 "혼돈운석" 스킬공격 상승				101203	11	17,18,	3	4000	5	4,44370001,280;4,44370002,300;	50000
11	24	PetTalent_3_1	천둥소생	각성마다 펫 생명 1% 상승	0		1			21,	5		3	4,44370001,900;4,44370002,350;	200000
12	1	PetTalent_2_2	추룡의힘	각성마다 펫 공격 300 상승	1	300					3		1	4,44370001,10;	10000
12	2	PetTalent_5_2	견약반석	각성마다 펫 방어 80 상승	2	80					3		1	4,44370001,10;	10000
12	3	PetTalent_4_2	생기발랄	각성마다 펫 생명 7000 상승	0	7000					3		1	4,44370001,10;	10000
12	5	pet_skill13_1	시체습격	각성마다 "시체습격" 스킬공격 상승				101301	2	1,2,3,	3	1500	1	4,44370001,30;4,44370002,30;	10000
12	7	PetTalent_3_3	뇌정만균	각성마다 펫 치명 1000 상승	3	1000				5,	3		3	4,44370001,60;	30000
12	8	PetTalent_1_1	날쌘제비	각성마다 펫 회피 1000 상승	6	1000				5,	3		3	4,44370001,60;	30000
12	9	PetTalent_2_1	백발백중	각성마다 펫 명중 1000 상승	5	1000				5,	3		3	4,44370001,60;	30000
12	10	PetTalent_1_2	창룡의힘	각성마다 펫 공격 2% 상승	1		2			7,	3		3	4,44370001,120;	30000
12	11	PetTalent_5_1	강근철골	각성마다 펫 방어 2% 상승	2		2			8,	3		3	4,44370001,120;	30000
12	12	PetTalent_4_3	자유자재	각성마다 펫 내성 1000 상승	4	1000				9,	3		3	4,44370001,60;	30000
12	13	PetTalent_2_3	불멸봉황	각성마다 펫 생명 3% 상승	0		3			10,11,	3		5	4,44370001,200;4,44370002,120;	50000
12	15	PetTalent_4_1	일월의정령	각성마다 펫 생명 2% 상승	0		2			12,	3		3	4,44370001,120;	30000
12	16	pet_skill13_2	지옥침식	각성마다 "지옥침식" 스킬공격 상승				101302	11	13,	3	3000	5	4,44370001,260;4,44370002,200;	50000
12	17	PetTalent_5_3	항룡의힘	각성마다 펫 공격 3% 상승	1		3			15,	3		5	4,44370001,200;4,44370002,120;	50000
12	18	PetTalent_1_3	현무현세	각성마다 펫 방어 3% 상승	2		3			15,	3		5	4,44370001,200;4,44370002,120;	50000
12	21	pet_skill13_3	죽음의저주	각성마다 "죽음의저주" 스킬공격 상승				101303	11	17,18,	3	4000	5	4,44370001,280;4,44370002,300;	50000
12	24	PetTalent_3_1	천둥소생	각성마다 펫 생명 1% 상승	0		1			21,	5		3	4,44370001,900;4,44370002,350;	200000
13	1	PetTalent_2_2	추룡의힘	각성마다 펫 공격 300 상승	1	300					3		1	4,44370001,10;	10000
13	2	PetTalent_5_2	견약반석	각성마다 펫 방어 80 상승	2	80					3		1	4,44370001,10;	10000
13	3	PetTalent_4_2	생기발랄	각성마다 펫 생명 7000 상승	0	7000					3		1	4,44370001,10;	10000
13	5	pet_skill14_1	시체습격	각성마다 "시체습격" 스킬공격 상승				101401	2	1,2,3,	3	1500	1	4,44370001,30;4,44370002,30;	10000
13	7	PetTalent_3_3	뇌정만균	각성마다 펫 치명 1000 상승	3	1000				5,	3		3	4,44370001,60;	30000
13	8	PetTalent_1_1	날쌘제비	각성마다 펫 회피 1000 상승	6	1000				5,	3		3	4,44370001,60;	30000
13	9	PetTalent_2_1	백발백중	각성마다 펫 명중 1000 상승	5	1000				5,	3		3	4,44370001,60;	30000
13	10	PetTalent_1_2	창룡의힘	각성마다 펫 공격 2% 상승	1		2			7,	3		3	4,44370001,120;	30000
13	11	PetTalent_5_1	강근철골	각성마다 펫 방어 2% 상승	2		2			8,	3		3	4,44370001,120;	30000
