心法ID	心法名称	心法战力值	心法类型(0=qte1=被动	职业限制	等级限制	心法等级	下一级ID	升级需要材料	技能图标名	技能描述格式化字符串id
2010208	천불장	12800	0	1	76	8	2010209	6,66010002,30;	icon_method_1_2	공격 시 12% 확률로 스킬활성, 범위 내 모든 적 유닛에게 113%의 피해, 분당 최대 3회 발동
2010209	천불장	25600	0	1	86	9	2010210	6,66010002,35;	icon_method_1_2	공격 시 13% 확률로 스킬활성, 범위 내 모든 적 유닛에게 120%의 피해, 분당 최대 3회 발동
2010210	천불장	51200	0	1	96	10			icon_method_1_2	공격 시 15% 확률로 스킬활성, 범위 내 모든 적 유닛에게 128%의 피해, 분당 최대 3회 발동
2010301	현천보	100	1	1	1	1	2010302	6,66010003,1;	icon_method_1_3	임의의 스킬 사용 후 이동 속도 12% 증가, 3초 간 지속
2010302	현천보	200	1	1	17	2	2010303	6,66010003,2;	icon_method_1_3	임의의 스킬 사용 후 이동 속도 14% 증가, 3초 간 지속
2010303	현천보	400	1	1	27	3	2010304	6,66010003,5;	icon_method_1_3	임의의 스킬 사용 후 이동 속도 16% 증가, 4초 간 지속
2010304	현천보	800	1	1	37	4	2010305	6,66010003,10;	icon_method_1_3	임의의 스킬 사용 후 이동 속도 18% 증가, 4초 간 지속
2010305	현천보	1600	1	1	47	5	2010306	6,66010003,15;	icon_method_1_3	임의의 스킬 사용 후 이동 속도 20% 증가, 5초 간 지속
2010306	현천보	3200	1	1	57	6	2010307	6,66010003,20;	icon_method_1_3	임의의 스킬 사용 후 이동 속도 22% 증가, 5초 간 지속
2010307	현천보	6400	1	1	67	7	2010308	6,66010003,25;	icon_method_1_3	임의의 스킬 사용 후 이동 속도 24% 증가, 6초 간 지속
2010308	현천보	12800	1	1	77	8	2010309	6,66010003,30;	icon_method_1_3	임의의 스킬 사용 후 이동 속도 26% 증가, 6초 간 지속
2010309	현천보	25600	1	1	87	9	2010310	6,66010003,35;	icon_method_1_3	임의의 스킬 사용 후 이동 속도 28% 증가, 7초 간 지속
2010310	현천보	51200	1	1	97	10			icon_method_1_3	임의의 스킬 사용 후 이동 속도 30% 증가, 7초 간 지속
2010401	천살전결	100	1	1	1	1	2010402	6,66010004,1;	icon_method_1_4	적 1명 처치 후 즉시 최대 생명의 1% 회복
2010402	천살전결	200	1	1	18	2	2010403	6,66010004,2;	icon_method_1_4	적 1명 처치 후 즉시 최대 생명의 1.5% 회복
2010403	천살전결	400	1	1	28	3	2010404	6,66010004,5;	icon_method_1_4	적 1명 처치 후 즉시 최대 생명의 2% 회복
2010404	천살전결	800	1	1	38	4	2010405	6,66010004,10;	icon_method_1_4	적 1명 처치 후 즉시 최대 생명의 2.5% 회복
2010405	천살전결	1600	1	1	48	5	2010406	6,66010004,15;	icon_method_1_4	적 1명 처치 후 즉시 최대 생명의 3% 회복
2010406	천살전결	3200	1	1	58	6	2010407	6,66010004,20;	icon_method_1_4	적 1명 처치 후 즉시 최대 생명의 3.5% 회복
2010407	천살전결	6400	1	1	68	7	2010408	6,66010004,25;	icon_method_1_4	적 1명 처치 후 즉시 최대 생명의 4% 회복
2010408	천살전결	12800	1	1	78	8	2010409	6,66010004,30;	icon_method_1_4	적 1명 처치 후 즉시 최대 생명의 4.5% 회복
2010409	천살전결	25600	1	1	88	9	2010410	6,66010004,35;	icon_method_1_4	적 1명 처치 후 즉시 최대 생명의 5% 회복
2010410	천살전결	51200	1	1	98	10			icon_method_1_4	적 1명 처치 후 즉시 최대 생명의 6% 회복
2010501	금호강룡	100	1	1	1	1	2010502	6,66010005,1;	icon_method_1_5	사망 시 3초 후 최대 생명의 20%로 부활, 전투 당 1회 발동
2010502	금호강룡	200	1	1	19	2	2010503	6,66010005,2;	icon_method_1_5	사망 시 3초 후 최대 생명의 25%로 부활, 전투 당 1회 발동
2010503	금호강룡	400	1	1	29	3	2010504	6,66010005,5;	icon_method_1_5	사망 시 3초 후 최대 생명의 30%로 부활, 전투 당 1회 발동
2010504	금호강룡	800	1	1	39	4	2010505	6,66010005,10;	icon_method_1_5	사망 시 3초 후 최대 생명의 35%로 부활, 전투 당 1회 발동
2010505	금호강룡	1600	1	1	49	5	2010506	6,66010005,15;	icon_method_1_5	사망 시 3초 후 최대 생명의 40%로 부활, 전투 당 1회 발동
2010506	금호강룡	3200	1	1	59	6	2010507	6,66010005,20;	icon_method_1_5	사망 시 3초 후 최대 생명의 45%로 부활, 전투 당 1회 발동
2010507	금호강룡	6400	1	1	69	7	2010508	6,66010005,25;	icon_method_1_5	사망 시 3초 후 최대 생명의 50%로 부활, 전투 당 1회 발동
2010508	금호강룡	12800	1	1	79	8	2010509	6,66010005,30;	icon_method_1_5	사망 시 3초 후 최대 생명의 55%로 부활, 전투 당 1회 발동
2010509	금호강룡	25600	1	1	89	9	2010510	6,66010005,35;	icon_method_1_5	사망 시 3초 후 최대 생명의 60%로 부활, 전투 당 1회 발동
2010510	금호강룡	51200	1	1	99	10			icon_method_1_5	사망 시 3초 후 최대 생명의 70%로 부활, 전투 당 1회 발동
2010601	팔황주	100	1	1	1	1	2010602	6,66010006,1;	icon_method_1_6	연속공격이 많을수록 피해량이 높아진다. 최고 10% 증가
2010602	팔황주	200	1	1	20	2	2010603	6,66010006,2;	icon_method_1_6	연속공격이 많을수록 피해량이 높아진다. 최고 13% 증가
2010603	팔황주	400	1	1	30	3	2010604	6,66010006,5;	icon_method_1_6	연속공격이 많을수록 피해량이 높아진다. 최고 16% 증가
2010604	팔황주	800	1	1	40	4	2010605	6,66010006,10;	icon_method_1_6	연속공격이 많을수록 피해량이 높아진다. 최고 19% 증가
2010605	팔황주	1600	1	1	50	5	2010606	6,66010006,15;	icon_method_1_6	연속공격이 많을수록 피해량이 높아진다. 최고 22% 증가
2010606	팔황주	3200	1	1	60	6	2010607	6,66010006,20;	icon_method_1_6	연속공격이 많을수록 피해량이 높아진다. 최고 25% 증가
2010607	팔황주	6400	1	1	70	7	2010608	6,66010006,25;	icon_method_1_6	연속공격이 많을수록 피해량이 높아진다. 최고 28% 증가
2010608	팔황주	12800	1	1	80	8	2010609	6,66010006,30;	icon_method_1_6	연속공격이 많을수록 피해량이 높아진다. 최고 31% 증가
2010609	팔황주	25600	1	1	90	9	2010610	6,66010006,35;	icon_method_1_6	연속공격이 많을수록 피해량이 높아진다. 최고 35% 증가
2010610	팔황주	51200	1	1	100	10			icon_method_1_6	연속공격이 많을수록 피해량이 높아진다. 최고 40% 증가
2010701	불후금신	100	1	1	1	1	2010702	6,66010007,1;	icon_method_1_7	자신의 체력이 20% 미만일때 치명률 5% 증가
2010702	불후금신	200	1	1	21	2	2010703	6,66010007,2;	icon_method_1_7	자신의 체력이 20% 미만일때 치명률 10% 증가
2010703	불후금신	400	1	1	31	3	2010704	6,66010007,5;	icon_method_1_7	자신의 체력이 20% 미만일때 치명률 15% 증가
2010704	불후금신	800	1	1	41	4	2010705	6,66010007,10;	icon_method_1_7	자신의 체력이 20% 미만일때 치명률 20% 증가
2010705	불후금신	1600	1	1	51	5	2010706	6,66010007,15;	icon_method_1_7	자신의 체력이 20% 미만일때 치명률 25% 증가
2010706	불후금신	3200	1	1	61	6	2010707	6,66010007,20;	icon_method_1_7	자신의 체력이 20% 미만일때 치명률 30% 증가
2010707	불후금신	6400	1	1	71	7	2010708	6,66010007,25;	icon_method_1_7	자신의 체력이 20% 미만일때 치명률 35% 증가
2010708	불후금신	12800	1	1	81	8	2010709	6,66010007,30;	icon_method_1_7	자신의 체력이 20% 미만일때 치명률 40% 증가
2010709	불후금신	25600	1	1	91	9	2010710	6,66010007,35;	icon_method_1_7	자신의 체력이 20% 미만일때 치명률 45% 증가
2010710	불후금신	51200	1	1	101	10			icon_method_1_7	자신의 체력이 20% 미만일때 치명률 50% 증가
2010801	파천결	100	1	1	1	1	2010802	6,66010008,1;	icon_method_1_8	공격 시 5% 확률로 공격 10% 증가, 10초 간 지속, 중첩 불가
2010802	파천결	200	1	1	22	2	2010803	6,66010008,2;	icon_method_1_8	공격 시 5% 확률로 공격 13% 증가, 10초 간 지속, 중첩 불가
2010803	파천결	400	1	1	32	3	2010804	6,66010008,5;	icon_method_1_8	공격 시 5% 확률로 공격 16% 증가, 10초 간 지속, 중첩 불가
2010804	파천결	800	1	1	42	4	2010805	6,66010008,10;	icon_method_1_8	공격 시 6% 확률로 공격 19% 증가, 10초 간 지속, 중첩 불가
2010805	파천결	1600	1	1	52	5	2010806	6,66010008,15;	icon_method_1_8	공격 시 6% 확률로 공격 22% 증가, 10초 간 지속, 중첩 불가
2010806	파천결	3200	1	1	62	6	2010807	6,66010008,20;	icon_method_1_8	공격 시 6% 확률로 공격 25% 증가, 10초 간 지속, 중첩 불가
2010807	파천결	6400	1	1	72	7	2010808	6,66010008,25;	icon_method_1_8	공격 시 7% 확률로 공격 28% 증가, 10초 간 지속, 중첩 불가
2010808	파천결	12800	1	1	82	8	2010809	6,66010008,30;	icon_method_1_8	공격 시 7% 확률로 공격 31% 증가, 10초 간 지속, 중첩 불가
2010809	파천결	25600	1	1	92	9	2010810	6,66010008,35;	icon_method_1_8	공격 시 8% 확률로 공격 35% 증가, 10초 간 지속, 중첩 불가
2010810	파천결	51200	1	1	102	10			icon_method_1_8	공격 시 9% 확률로 공격 40% 증가, 10초 간 지속, 중첩 불가
2010901	역명전천	100	1	1	1	1	2010902	6,66010009,1;	icon_method_1_9	주변에 존재하는 적 1명당 자신의 방어 109 증가
2010902	역명전천	200	1	1	23	2	2010903	6,66010009,2;	icon_method_1_9	주변에 존재하는 적 1명당 자신의 방어 225 증가
2010903	역명전천	400	1	1	33	3	2010904	6,66010009,5;	icon_method_1_9	주변에 존재하는 적 1명당 자신의 방어 494 증가
2010904	역명전천	800	1	1	43	4	2010905	6,66010009,10;	icon_method_1_9	주변에 존재하는 적 1명당 자신의 방어 829 증가
2010905	역명전천	1600	1	1	53	5	2010906	6,66010009,15;	icon_method_1_9	주변에 존재하는 적 1명당 자신의 방어 1209 증가
2010906	역명전천	3200	1	1	63	6	2010907	6,66010009,20;	icon_method_1_9	주변에 존재하는 적 1명당 자신의 방어 1610 증가
2010907	역명전천	6400	1	1	73	7	2010908	6,66010009,25;	icon_method_1_9	주변에 존재하는 적 1명당 자신의 방어 2160 증가
2010908	역명전천	12800	1	1	83	8	2010909	6,66010009,30;	icon_method_1_9	주변에 존재하는 적 1명당 자신의 방어 2816 증가
2010909	역명전천	25600	1	1	93	9	2010910	6,66010009,35;	icon_method_1_9	주변에 존재하는 적 1명당 자신의 방어 3557 증가
2010910	역명전천	51200	1	1	103	10			icon_method_1_9	주변에 존재하는 적 1명당 자신의 방어 4238 증가
2011001	부동명왕	100	1	1	1	1	2011002	6,66010010,1;	icon_method_1_10	생명력이 25% 하락할 때마다 방어력이 5%씩 증가
2011002	부동명왕	200	1	1	24	2	2011003	6,66010010,2;	icon_method_1_10	생명력이 23% 하락할 때마다 방어력이 5%씩 증가
2011003	부동명왕	400	1	1	34	3	2011004	6,66010010,5;	icon_method_1_10	생명력이 21% 하락할 때마다 방어력이 5%씩 증가
2011004	부동명왕	800	1	1	44	4	2011005	6,66010010,10;	icon_method_1_10	생명력이 19% 하락할 때마다 방어력이 5%씩 증가
2011005	부동명왕	1600	1	1	54	5	2011006	6,66010010,15;	icon_method_1_10	생명력이 17% 하락할 때마다 방어력이 5%씩 증가
2011006	부동명왕	3200	1	1	64	6	2011007	6,66010010,20;	icon_method_1_10	생명력이 15% 하락할 때마다 방어력이 5%씩 증가
2011007	부동명왕	6400	1	1	74	7	2011008	6,66010010,25;	icon_method_1_10	생명력이 13% 하락할 때마다 방어력이 5%씩 증가
2011008	부동명왕	12800	1	1	84	8	2011009	6,66010010,30;	icon_method_1_10	생명력이 11% 하락할 때마다 방어력이 5%씩 증가
2011009	부동명왕	25600	1	1	94	9	2011010	6,66010010,35;	icon_method_1_10	생명력이 9% 하락할 때마다 방어력이 5%씩 증가
2011010	부동명왕	51200	1	1	104	10			icon_method_1_10	생명력이 7% 하락할 때마다 방어력이 5%씩 증가
2020101	천선파	100	0	2	1	1	2020102	6,66020001,1;	icon_method_2_1	공격 시 5% 확률로 스킬활성, 범위 내 모든 적에게 360%의 피해, 분당 최대 4회 발동
2020102	천선파	200	0	2	15	2	2020103	6,66020001,2;	icon_method_2_1	공격 시 6% 확률로 스킬활성, 범위 내 모든 적에게 380%의 피해, 분당 최대 4회 발동
2020103	천선파	400	0	2	25	3	2020104	6,66020001,5;	icon_method_2_1	공격 시 7% 확률로 스킬활성, 범위 내 모든 적에게 400%의 피해, 분당 최대 4회 발동
2020104	천선파	800	0	2	35	4	2020105	6,66020001,10;	icon_method_2_1	공격 시 8% 확률로 스킬활성, 범위 내 모든 적에게 420%의 피해, 분당 최대 4회 발동
2020105	천선파	1600	0	2	45	5	2020106	6,66020001,15;	icon_method_2_1	공격 시 9% 확률로 스킬활성, 범위 내 모든 적에게 440%의 피해, 분당 최대 4회 발동
2020106	천선파	3200	0	2	55	6	2020107	6,66020001,20;	icon_method_2_1	공격 시 10% 확률로 스킬활성, 범위 내 모든 적에게 460%의 피해, 분당 최대 6회 발동
2020107	천선파	6400	0	2	65	7	2020108	6,66020001,25;	icon_method_2_1	공격 시 11% 확률로 스킬활성, 범위 내 모든 적에게 480%의 피해, 분당 최대 6회 발동
2020108	천선파	12800	0	2	75	8	2020109	6,66020001,30;	icon_method_2_1	공격 시 12% 확률로 스킬활성, 범위 내 모든 적에게 500%의 피해, 분당 최대 6회 발동
2020109	천선파	25600	0	2	85	9	2020110	6,66020001,35;	icon_method_2_1	공격 시 16% 확률로 스킬활성, 범위 내 모든 적에게 520%의 피해, 분당 최대 6회 발동
2020110	천선파	51200	0	2	95	10			icon_method_2_1	공격 시 15% 확률로 스킬활성, 범위 내 모든 적에게 540%의 피해, 분당 최대 6회 발동
2020201	풍무경화	100	0	2	1	1	2020202	6,66020002,1;	icon_method_2_2	적 공격 회피 시 45% 확률로 스킬활성, 일직선상의 적에게 200%의 피해, 분당 최대 2회 발동
2020202	풍무경화	200	0	2	16	2	2020203	6,66020002,2;	icon_method_2_2	적 공격 회피 시 50% 확률로 스킬활성, 일직선상의 적에게 210%의 피해, 분당 최대 2회 발동
2020203	풍무경화	400	0	2	26	3	2020204	6,66020002,5;	icon_method_2_2	적 공격 회피 시 55% 확률로 스킬활성, 일직선상의 적에게 220%의 피해, 분당 최대 2회 발동
2020204	풍무경화	800	0	2	36	4	2020205	6,66020002,10;	icon_method_2_2	적 공격 회피 시 60% 확률로 스킬활성, 일직선상의 적에게 230%의 피해, 분당 최대 2회 발동
2020205	풍무경화	1600	0	2	46	5	2020206	6,66020002,15;	icon_method_2_2	적 공격 회피 시 65% 확률로 스킬활성, 일직선상의 적에게 240%의 피해, 분당 최대 2회 발동
2020206	풍무경화	3200	0	2	56	6	2020207	6,66020002,20;	icon_method_2_2	적 공격 회피 시 70% 확률로 스킬활성, 일직선상의 적에게 250%의 피해, 분당 최대 3회 발동
2020207	풍무경화	6400	0	2	66	7	2020208	6,66020002,25;	icon_method_2_2	적 공격 회피 시 75% 확률로 스킬활성, 일직선상의 적에게 260%의 피해, 분당 최대 3회 발동
2020208	풍무경화	12800	0	2	76	8	2020209	6,66020002,30;	icon_method_2_2	적 공격 회피 시 80% 확률로 스킬활성, 일직선상의 적에게 270%의 피해, 분당 최대 3회 발동
2020209	풍무경화	25600	0	2	86	9	2020210	6,66020002,35;	icon_method_2_2	적 공격 회피 시 85% 확률로 스킬활성, 일직선상의 적에게 280%의 피해, 분당 최대 3회 발동
2020210	풍무경화	51200	0	2	96	10			icon_method_2_2	적 공격 회피 시 90% 확률로 스킬활성, 일직선상의 적에게 300%의 피해, 분당 최대 3회 발동
2020301	임운보	100	1	2	1	1	2020302	6,66020003,1;	icon_method_2_3	임의의 스킬 사용 후 회피 12% 증가, 3초 간 지속
2020302	임운보	200	1	2	17	2	2020303	6,66020003,2;	icon_method_2_3	임의의 스킬 사용 후 회피 14% 증가, 3초 간 지속
2020303	임운보	400	1	2	27	3	2020304	6,66020003,5;	icon_method_2_3	임의의 스킬 사용 후 회피 16% 증가, 3초 간 지속
2020304	임운보	800	1	2	37	4	2020305	6,66020003,10;	icon_method_2_3	임의의 스킬 사용 후 회피 18% 증가, 4초 간 지속
2020305	임운보	1600	1	2	47	5	2020306	6,66020003,15;	icon_method_2_3	임의의 스킬 사용 후 회피 20% 증가, 4초 간 지속
2020306	임운보	3200	1	2	57	6	2020307	6,66020003,20;	icon_method_2_3	임의의 스킬 사용 후 회피 22% 증가, 4초 간 지속
2020307	임운보	6400	1	2	67	7	2020308	6,66020003,25;	icon_method_2_3	임의의 스킬 사용 후 회피 24% 증가, 5초 간 지속
2020308	임운보	12800	1	2	77	8	2020309	6,66020003,30;	icon_method_2_3	임의의 스킬 사용 후 회피 26% 증가, 5초 간 지속
2020309	임운보	25600	1	2	87	9	2020310	6,66020003,35;	icon_method_2_3	임의의 스킬 사용 후 회피 28% 증가, 5초 간 지속
2020310	임운보	51200	1	2	97	10			icon_method_2_3	임의의 스킬 사용 후 회피 30% 증가, 6초 간 지속
2020401	파진곡	100	1	2	1	1	2020402	6,66020004,1;	icon_method_2_4	연속공격이 많을수록 피해량이 높아진다. 최고 10% 증가
2020402	파진곡	200	1	2	18	2	2020403	6,66020004,2;	icon_method_2_4	연속공격이 많을수록 피해량이 높아진다. 최고 13% 증가
2020403	파진곡	400	1	2	28	3	2020404	6,66020004,5;	icon_method_2_4	연속공격이 많을수록 피해량이 높아진다. 최고 16% 증가
2020404	파진곡	800	1	2	38	4	2020405	6,66020004,10;	icon_method_2_4	연속공격이 많을수록 피해량이 높아진다. 최고 19% 증가
2020405	파진곡	1600	1	2	48	5	2020406	6,66020004,15;	icon_method_2_4	연속공격이 많을수록 피해량이 높아진다. 최고 22% 증가
2020406	파진곡	3200	1	2	58	6	2020407	6,66020004,20;	icon_method_2_4	연속공격이 많을수록 피해량이 높아진다. 최고 25% 증가
2020407	파진곡	6400	1	2	68	7	2020408	6,66020004,25;	icon_method_2_4	연속공격이 많을수록 피해량이 높아진다. 최고 28% 증가
2020408	파진곡	12800	1	2	78	8	2020409	6,66020004,30;	icon_method_2_4	연속공격이 많을수록 피해량이 높아진다. 최고 31% 증가
2020409	파진곡	25600	1	2	88	9	2020410	6,66020004,35;	icon_method_2_4	연속공격이 많을수록 피해량이 높아진다. 최고 35% 증가
2020410	파진곡	51200	1	2	98	10			icon_method_2_4	연속공격이 많을수록 피해량이 높아진다. 최고 40% 증가
2020501	천녀답랑	100	1	2	1	1	2020502	6,66020005,1;	icon_method_2_5	체력 80% 이상 시 천녀답랑 효과 발동, 치명률 5% 증가
2020502	천녀답랑	200	1	2	19	2	2020503	6,66020005,2;	icon_method_2_5	체력 78% 이상 시 천녀답랑 효과 발동, 치명률 7% 증가
2020503	천녀답랑	400	1	2	29	3	2020504	6,66020005,5;	icon_method_2_5	체력 76% 이상 시 천녀답랑 효과 발동, 치명률 9% 증가
2020504	천녀답랑	800	1	2	39	4	2020505	6,66020005,10;	icon_method_2_5	체력 74% 이상 시 천녀답랑 효과 발동, 치명률 11% 증가
2020505	천녀답랑	1600	1	2	49	5	2020506	6,66020005,15;	icon_method_2_5	체력 72% 이상 시 천녀답랑 효과 발동, 치명률 13% 증가
2020506	천녀답랑	3200	1	2	59	6	2020507	6,66020005,20;	icon_method_2_5	체력 70% 이상 시 천녀답랑 효과 발동, 치명률 15% 증가
2020507	천녀답랑	6400	1	2	69	7	2020508	6,66020005,25;	icon_method_2_5	체력 68% 이상 시 천녀답랑 효과 발동, 치명률 17% 증가
2020508	천녀답랑	12800	1	2	79	8	2020509	6,66020005,30;	icon_method_2_5	체력 66% 이상 시 천녀답랑 효과 발동, 치명률 19% 증가
2020509	천녀답랑	25600	1	2	89	9	2020510	6,66020005,35;	icon_method_2_5	체력 64% 이상 시 천녀답랑 효과 발동, 치명률 21% 증가
2020510	천녀답랑	51200	1	2	99	10			icon_method_2_5	체력 60% 이상 시 천녀답랑 효과 발동, 치명률 25% 증가
2020601	멸정침	100	1	2	1	1	2020602	6,66020006,1;	icon_method_2_6	적 처치 시마다 자신의 공격 5% 증가, 5초 간 지속되며 중첩 불가
2020602	멸정침	200	1	2	20	2	2020603	6,66020006,2;	icon_method_2_6	적 처치 시마다 자신의 공격 7% 증가, 5초 간 지속되며 중첩 불가
2020603	멸정침	400	1	2	30	3	2020604	6,66020006,5;	icon_method_2_6	적 처치 시마다 자신의 공격 9% 증가, 5초 간 지속되며 중첩 불가
2020604	멸정침	800	1	2	40	4	2020605	6,66020006,10;	icon_method_2_6	적 처치 시마다 자신의 공격 11% 증가, 5초 간 지속되며 중첩 불가
2020605	멸정침	1600	1	2	50	5	2020606	6,66020006,15;	icon_method_2_6	적 처치 시마다 자신의 공격 13% 증가, 5초 간 지속되며 중첩 불가
2020606	멸정침	3200	1	2	60	6	2020607	6,66020006,20;	icon_method_2_6	적 처치 시마다 자신의 공격 15% 증가, 5초 간 지속되며 중첩 불가
2020607	멸정침	6400	1	2	70	7	2020608	6,66020006,25;	icon_method_2_6	적 처치 시마다 자신의 공격 17% 증가, 5초 간 지속되며 중첩 불가
2020608	멸정침	12800	1	2	80	8	2020609	6,66020006,30;	icon_method_2_6	적 처치 시마다 자신의 공격 19% 증가, 5초 간 지속되며 중첩 불가
2020609	멸정침	25600	1	2	90	9	2020610	6,66020006,35;	icon_method_2_6	적 처치 시마다 자신의 공격 21% 증가, 5초 간 지속되며 중첩 불가
2020610	멸정침	51200	1	2	100	10			icon_method_2_6	적 처치 시마다 자신의 공격 25% 증가, 5초 간 지속되며 중첩 불가
2020701	삼성반월	100	1	2	1	1	2020702	6,66020007,1;	icon_method_2_7	적 공격 시 5% 확률로 탈혼산 소환, 자신을 뒤따르며 주위의 적 유닛에게 초당 15%의 피해, 5초 간 지속
2020702	삼성반월	200	1	2	21	2	2020703	6,66020007,2;	icon_method_2_7	적 공격 시 6% 확률로 탈혼산 소환, 자신을 뒤따르며 주위의 적 유닛에게 초당 16%의 피해, 5초 간 지속
2020703	삼성반월	400	1	2	31	3	2020704	6,66020007,5;	icon_method_2_7	적 공격 시 7% 확률로 탈혼산 소환, 자신을 뒤따르며 주위의 적 유닛에게 초당 17%의 피해, 5초 간 지속
2020704	삼성반월	800	1	2	41	4	2020705	6,66020007,10;	icon_method_2_7	적 공격 시 8% 확률로 탈혼산 소환, 자신을 뒤따르며 주위의 적 유닛에게 초당 18%의 피해, 5초 간 지속
2020705	삼성반월	1600	1	2	51	5	2020706	6,66020007,15;	icon_method_2_7	적 공격 시 9% 확률로 탈혼산 소환, 자신을 뒤따르며 주위의 적 유닛에게 초당 19%의 피해, 5초 간 지속
2020706	삼성반월	3200	1	2	61	6	2020707	6,66020007,20;	icon_method_2_7	적 공격 시 10% 확률로 탈혼산 소환, 자신을 뒤따르며 주위의 적 유닛에게 초당 20%의 피해, 5초 간 지속
2020707	삼성반월	6400	1	2	71	7	2020708	6,66020007,25;	icon_method_2_7	적 공격 시 11% 확률로 탈혼산 소환, 자신을 뒤따르며 주위의 적 유닛에게 초당 21%의 피해, 5초 간 지속
2020708	삼성반월	12800	1	2	81	8	2020709	6,66020007,30;	icon_method_2_7	적 공격 시 12% 확률로 탈혼산 소환, 자신을 뒤따르며 주위의 적 유닛에게 초당 22%의 피해, 5초 간 지속
2020709	삼성반월	25600	1	2	91	9	2020710	6,66020007,35;	icon_method_2_7	적 공격 시 13% 확률로 탈혼산 소환, 자신을 뒤따르며 주위의 적 유닛에게 초당 23%의 피해, 5초 간 지속
2020710	삼성반월	51200	1	2	101	10			icon_method_2_7	적 공격 시 15% 확률로 탈혼산 소환, 자신을 뒤따르며 주위의 적 유닛에게 초당 25%의 피해, 5초 간 지속
2020801	한상음혈	100	1	2	1	1	2020802	6,66020008,1;	icon_method_2_8	적 처치 시마다 자신의 방어 10% 증가, 5초 간 지속
2020802	한상음혈	200	1	2	22	2	2020803	6,66020008,2;	icon_method_2_8	적 처치 시마다 자신의 방어 12% 증가, 6초 간 지속
2020803	한상음혈	400	1	2	32	3	2020804	6,66020008,5;	icon_method_2_8	적 처치 시마다 자신의 방어 14% 증가, 7초 간 지속
2020804	한상음혈	800	1	2	42	4	2020805	6,66020008,10;	icon_method_2_8	적 처치 시마다 자신의 방어 16% 증가, 8초 간 지속
2020805	한상음혈	1600	1	2	52	5	2020806	6,66020008,15;	icon_method_2_8	적 처치 시마다 자신의 방어 18% 증가, 9초 간 지속
